Team,Odds,,W-L O/U,Result
Brooklyn Nets,230,,56.5, 8-4 (under)
Los Angeles Lakers,425,,52.5, 7-5 (under)
Milwaukee Bucks,850,,54.5, 6-6 (under)
Golden State Warriors,1100,,48.5, 10-1 (under)
Utah Jazz,1400,,52.5, 8-3 (under)
Phoenix Suns,1400,,51.5, 7-3 (under)
Philadelphia 76ers,1600,,50.5, 8-4 (under)
Los Angeles Clippers,1600,,45.5, 6-4 (under)
Denver Nuggets,2200,,47.5, 7-4 (under)
Dallas Mavericks,2800,,48.5, 7-4 (under)
Atlanta Hawks,3500,,47.5, 4-8 (under)
Miami Heat,3500,,48.5, 7-4 (under)
Boston Celtics,4000,,45.5, 5-6 (under)
Portland Trail Blazers,5000,,44.5, 5-7 (under)
New Orleans Pelicans,8000,,39.5, 1-11 (under)
New York Knicks,8000,,41.5, 7-5 (under)
Memphis Grizzlies,10000,,41.5, 6-5 (under)
Indiana Pacers,10000,,42.5, 4-8 (under)
Toronto Raptors,10000,,35.5, 6-6 (under)
Charlotte Hornets,10000,,38.5, 6-7 (under)
Chicago Bulls,12500,,42.5, 8-3 (under)
Washington Wizards,15000,,33.5, 8-3 (under)
Sacramento Kings,25000,,36.5, 5-7 (under)
San Antonio Spurs,25000,,28.5, 4-7 (under)
Minnesota Timberwolves,25000,,35.5, 3-7 (under)
Cleveland Cavaliers,50000,,26.5, 7-5 (under)
Orlando Magic,50000,,22.5, 3-9 (under)
Oklahoma City Thunder,50000,,23.5, 4-6 (under)
Detroit Pistons,50000,,24.5, 2-8 (under)
Houston Rockets,50000,,27.5, 1-10 (under)